run_id,domain,variant,protocol,repeat,symbolic_object,pddl_type,candidate_count,candidate_physical_bodies,centroid_distance,aabb_distance,ambiguity_margin,failure_reason,observation_stage,classification
kitchen__F2_HIDDEN_SOUP_BOWL__initial_observation_only__r00,kitchen,F2_HIDDEN_SOUP_BOWL,initial_observation_only,0,cup_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,NO_PHYSICAL_CANDIDATE
kitchen__F4_TOOLS_IN_DRAWERS__initial_observation_only__r00,kitchen,F4_TOOLS_IN_DRAWERS,initial_observation_only,0,bowl_1,unknown,2,ab3_narrow_deep_cup; ab3_medium_deep_mug,,,,AMBIGUOUS_ENTITY,initial_observation_only,MULTIPLE_PHYSICAL_CANDIDATES
living_room__F3_LEFT_CUP_ON_SHARED__fixed_full_inspection__r00,living_room,F3_LEFT_CUP_ON_SHARED,fixed_full_inspection,0,cup_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,NO_PHYSICAL_CANDIDATE
living_room__F3_LEFT_CUP_ON_SHARED__initial_observation_only__r00,living_room,F3_LEFT_CUP_ON_SHARED,initial_observation_only,0,remote_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,NO_PHYSICAL_CANDIDATE
living_room__F4_SAUCER_PREPLACED_CUP_ON_SHARED__fixed_full_inspection__r00,living_room,F4_SAUCER_PREPLACED_CUP_ON_SHARED,fixed_full_inspection,0,cup_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,NO_PHYSICAL_CANDIDATE
living_room__F5_LEFT_PAIR_ON_SHARED__fixed_full_inspection__r00,living_room,F5_LEFT_PAIR_ON_SHARED,fixed_full_inspection,0,cup_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,NO_PHYSICAL_CANDIDATE
living_room__F5_LEFT_PAIR_ON_SHARED__initial_observation_only__r00,living_room,F5_LEFT_PAIR_ON_SHARED,initial_observation_only,0,cup_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,NO_PHYSICAL_CANDIDATE
workshop__F2_MANUAL_FIRST_TWO_REGIONS__fixed_full_inspection__r00,workshop,F2_MANUAL_FIRST_TWO_REGIONS,fixed_full_inspection,0,driver_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,NO_PHYSICAL_CANDIDATE
workshop__F3_POWER_FIRST_TWO_REGIONS__fixed_full_inspection__r00,workshop,F3_POWER_FIRST_TWO_REGIONS,fixed_full_inspection,0,driver_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,NO_PHYSICAL_CANDIDATE
workshop__F4_MANUAL_FIRST_THREE_REGIONS__fixed_full_inspection__r00,workshop,F4_MANUAL_FIRST_THREE_REGIONS,fixed_full_inspection,0,driver_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,NO_PHYSICAL_CANDIDATE
workshop__F4_MANUAL_FIRST_THREE_REGIONS__initial_observation_only__r00,workshop,F4_MANUAL_FIRST_THREE_REGIONS,initial_observation_only,0,driver_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,NO_PHYSICAL_CANDIDATE
workshop__F5_POWER_FIRST_THREE_REGIONS__fixed_full_inspection__r00,workshop,F5_POWER_FIRST_THREE_REGIONS,fixed_full_inspection,0,driver_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,NO_PHYSICAL_CANDIDATE
workshop__F5_POWER_FIRST_THREE_REGIONS__initial_observation_only__r00,workshop,F5_POWER_FIRST_THREE_REGIONS,initial_observation_only,0,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,initial_observation_only,NO_PHYSICAL_CANDIDATE
workshop__F7_POWER_ONLY__fixed_full_inspection__r00,workshop,F7_POWER_ONLY,fixed_full_inspection,0,screw_1,unknown,0,,,,,UNRESOLVED_ENTITY,fixed_full_inspection,NO_PHYSICAL_CANDIDATE
